playerid,Name,Team,position,PA,AB,R,HR,RBI,SB,AVG,marginal_total_points,dollar_value,auction_value,status,NFBC_ADP,salary
19709,Fernando Tatis Jr.,SDP,ss,615,536.25,110.58812746907562,44.680097280577804,110.02406238564457,27.273623661457176,0.28825,14.084656341686575,47.696994369263415,72.77103361469698,drafted,2.46,13
16252,Trea Turner,LAD,ss,647.6,591.2,106.53977618703264,25.79944891142761,87.27061472161263,31.30431348752981,0.2996,11.91762761917116,40.358458428565214,61.57467097832615,drafted,1.15,24
18401,Ronald Acuña Jr.,ATL,of,584.8,493.2,107.6281064050565,36.41698087614161,85.27042658303981,24.937853929846348,0.2822,11.387969553622495,38.564797500159166,58.838092679410984,drafted,9.23,14
20123,Juan Soto,WSN,of,655,512.8,114.36444943643943,34.13523243085196,107.36414321320454,10.775361794836137,0.3088,10.955975621714412,37.10187134577431,56.606114548202726,drafted,5.46,14
13510,José Ramírez,CLE,3b,630.75,546.25,97.8793191695861,34.01928416501876,99.17792279391456,24.064330694357526,0.272,10.864472228862107,36.79199961672634,56.13334500980754,drafted,3.23,22
19755,Shohei Ohtani,LAA,dh,599.2,511.8,98.71591062805872,38.03374303501428,97.61727562273319,21.768739825095636,0.262,10.547963964239107,35.720159981500935,54.49804536134969,drafted,11.23,28
19611,Vladimir Guerrero Jr.,TOR,"1b, 3b",649.6,565,110.03062584028062,40.53570284558284,112.63073155852844,2.79349970601191,0.30519999999999997,10.27592838816653,34.798924913679656,53.092522246655044,drafted,6.54,10
19612,Bo Bichette,TOR,ss,656.5,604,101.47858730213991,27.72785330501787,92.92341073666621,19.479701643225177,0.2905,9.921775143229388,33.59960240840648,51.262722706868146,drafted,4.54,12
11579,Bryce Harper,PHI,of,638.75,520,100.51134500569124,35.991343255618204,100.77433774315033,12.774335387338816,0.275,9.498418016131986,32.16592436774409,49.07536825677458,drafted,11,42
13611,Mookie Betts,LAD,of,652.25,559,109.69427405724517,30.502784407773973,86.71972135899014,15.309301907754312,0.28175,9.293236557490886,31.47108747289445,48.01525954970647,drafted,15.85,39
18345,Kyle Tucker,HOU,of,599.4,536.8,90.72627268629722,29.53795935155885,97.16978176050793,17.016603419404326,0.2796,9.103402764237188,30.82822469028478,47.034447450714495,drafted,10.69,10
17350,Rafael Devers,BOS,3b,653.5,586.75,99.45743268390059,37.262619580450675,106.94433736700931,5.4965527582533955,0.28075,8.864776112420028,30.020127297493417,45.80153784472337,drafted,18.62,17
9241,Starling Marte,NYM,of,591.8,535,85.1895490884493,16.177883028055035,67.50971267109549,32.62055382668109,0.27380000000000004,8.493594564473359,28.763139283523405,43.883758365586445,drafted,25,33
11493,Manny Machado,SDP,3b,647.75,574.5,89.23209619577344,31.98882302820637,102.25671097803719,10.25303244576823,0.2755,8.283093913473296,28.05028920597057,42.79616704789819,drafted,23.46,34
16556,Ozzie Albies,ATL,2b,645.4,589.6,95.0635679397435,26.53433683083801,86.11083425917607,17.136128293781223,0.2726,8.244003756714255,27.917912317135077,42.594200379879695,drafted,16.46,17
19556,Yordan Alvarez,HOU,dh,610.8,538.8,95.5532371188284,36.37323845461467,112.761941542583,1.4087090762697003,0.2812,8.212687355996769,27.811860869911147,42.432398288723334,drafted,33.62,10
15640,Aaron Judge,NYY,of,614.4,528.2,98.19458911101488,36.56962999876292,97.52309993962709,4.81923504330941,0.27440000000000003,7.99672959457421,27.08053055693192,41.31661178072581,drafted,44.92,17
10155,Mike Trout,LAA,of,563.5,452.5,92.56203395539832,35.149386558038664,92.60280244094662,7.7449419438910745,0.277,7.970723877659318,26.99246347860449,41.18224833912825,drafted,19,41
12564,Trevor Story,NA,ss,623.6,556.8,85.7769765705112,27.635107861973584,82.68774317824875,20.812042470429244,0.257,7.918745058056703,26.816439768422146,40.91368996348944,drafted,34.46,22
5361,Freddie Freeman,NA,1b,655.4,560.6,96.92093979869209,28.586770584005183,92.80035732969289,6.82465707052524,0.29419999999999996,7.872268166216214,26.6590480653775,40.67355833539848,drafted,22.77,39
20043,Luis Robert,CHW,of,572.6,523,81.66040456344017,26.48427087700334,80.69143735618748,16.807114929460234,0.2828,7.757985030029681,26.272033858502066,40.08309295638822,drafted,15.85,6
11281,Whit Merrifield,KCR,"2b, of",673.75,620.5,87.47916363334387,11.740228067158087,64.31991554862255,28.979101021754797,0.2815,7.624286813758832,25.81927144002707,39.39231590408097,drafted,31.85,27
19251,Pete Alonso,NYM,1b,633.6,553,92.525355847984,38.96766430150542,107.78863052467062,1.7842468405581156,0.261,7.531224074868503,25.504119062492475,38.91148971025898,drafted,63.08,18
15172,Tim Anderson,CHW,ss,630.8,595.4,91.81376060415126,19.809219587952974,68.58343019526018,19.258563380660465,0.28919999999999996,7.522945903225431,25.476085442312563,38.86871897504954,drafted,32.46,22
